City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,47.86,66,75,25.32,broken clouds
1,Chumikan,RU,54.7183,135.315,2.08,80,100,16.89,overcast clouds
2,Aklavik,CA,68.2191,-135.0107,1.4,78,75,5.75,light snow
3,Morant Bay,JM,17.8815,-76.4093,76.62,77,28,8.37,scattered clouds
4,Mazagao,BR,-0.115,-51.2894,80.65,81,100,5.55,moderate rain
5,Nyurba,RU,63.2842,118.3319,-18.76,99,62,4.5,broken clouds
6,New Norfolk,AU,-42.7826,147.0587,55.9,76,2,2.01,clear sky
7,Moree,AU,-29.4667,149.85,71.62,68,40,6.91,scattered clouds
8,Upernavik,GL,72.7868,-56.1549,-4.58,74,100,9.86,overcast clouds
9,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,77,75,22.19,broken clouds
10,Albany,US,42.6001,-73.9662,19.94,36,37,8.01,scattered clouds
11,Leova,MD,46.4786,28.2553,39.51,69,98,8.81,overcast clouds
12,Valencia,ES,39.3333,-0.8333,59.38,21,0,5.32,clear sky
13,Dikson,RU,73.5069,80.5464,0.03,92,100,21.18,overcast clouds
14,Guryevsk,RU,54.2833,85.9333,1.44,96,60,3.49,broken clouds
15,Ribeira Grande,PT,38.5167,-28.7,59.4,72,40,19.57,scattered clouds
16,Norman Wells,CA,65.282,-126.8329,-34.56,61,75,0.0,broken clouds
17,Urubicha,BO,-15.3833,-62.95,84.38,66,31,3.87,scattered clouds
18,Saravan,AM,39.7196,45.6483,20.05,94,99,3.36,overcast clouds
19,Butaritari,KI,3.0707,172.7902,81.7,78,74,21.27,broken clouds
20,Mataura,NZ,-46.1927,168.8643,58.48,99,48,1.9,scattered clouds
21,Busselton,AU,-33.65,115.3333,65.08,78,0,18.52,clear sky
22,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,62,40,4.61,scattered clouds
23,Cape Town,ZA,-33.9258,18.4232,88.12,57,23,5.01,few clouds
24,Odder,DK,55.9731,10.153,39.87,77,22,16.82,few clouds
25,Hermanus,ZA,-34.4187,19.2345,87.91,65,28,19.37,scattered clouds
26,Bredasdorp,ZA,-34.5322,20.0403,77.29,73,6,16.11,clear sky
