City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Filipe,CV,2022-01-24 15:39:45,14.8961,-24.4956,78.71,52,67,9.42
1,Albany,US,2022-01-24 15:35:59,42.6001,-73.9662,22.62,63,13,3.18
2,Shache,CN,2022-01-24 15:39:45,38.4167,77.2406,32.72,49,0,5.03
3,Busselton,AU,2022-01-24 15:35:55,-33.65,115.3333,62.1,77,2,10.8
4,Comodoro Rivadavia,AR,2022-01-24 15:39:46,-45.8667,-67.5,75.06,23,0,18.41
5,Punta Arenas,CL,2022-01-24 15:36:43,-53.15,-70.9167,55.51,58,0,21.85
6,Lar,IN,2022-01-24 15:39:46,26.2039,83.9717,59.67,76,8,6.64
7,Castro,BR,2022-01-24 15:34:50,-24.7911,-50.0119,87.04,42,0,4.21
8,San Patricio,US,2022-01-24 15:39:47,28.017,-97.5169,55.89,88,100,10.54
9,Contamana,PE,2022-01-24 15:39:47,-7.3333,-75.0167,86.56,67,79,3.04
10,Provideniya,RU,2022-01-24 15:39:48,64.3833,-173.3,-0.6,99,98,6.55
11,Port Alfred,ZA,2022-01-24 15:39:48,-33.5906,26.891,75.67,74,5,8.97
12,Ushuaia,AR,2022-01-24 15:38:25,-54.8,-68.3,51.42,66,75,13.8
13,Khash,IR,2022-01-24 15:39:49,28.2211,61.2158,47.86,23,0,4.47
14,Namatanai,PG,2022-01-24 15:39:49,-3.6667,152.4333,79.5,81,46,1.99
15,Novyy Urgal,RU,2022-01-24 15:39:49,51.0736,132.5642,-24.7,100,89,1.34
16,Elk Plain,US,2022-01-24 15:39:50,47.0532,-122.3976,37.15,97,100,1.01
17,Aksha,RU,2022-01-24 15:39:50,50.2814,113.2867,1.15,97,100,3.11
18,Saint-Philippe,RE,2022-01-24 15:39:51,-21.3585,55.7679,78.39,75,97,16.42
19,Zenzeli,RU,2022-01-24 15:39:51,45.9241,47.0474,34.16,80,100,11.52
20,Jensen Beach,US,2022-01-24 15:39:51,27.2545,-80.2298,56.01,72,20,7.0
21,Mataura,NZ,2022-01-24 15:35:53,-46.1927,168.8643,42.28,98,84,1.3
22,Madison Heights,US,2022-01-24 15:39:52,42.4859,-83.1052,19.83,83,100,4.0
23,Bluff,NZ,2022-01-24 15:39:52,-46.6,168.3333,50.63,83,100,9.44
24,Cherskiy,RU,2022-01-24 15:39:53,68.75,161.3,-27.2,99,100,7.45
25,Port Hardy,CA,2022-01-24 15:39:53,50.6996,-127.4199,38.75,100,100,3.44
26,Srednekolymsk,RU,2022-01-24 15:36:58,67.45,153.6833,-27.15,99,98,7.07
27,Sola,VU,2022-01-24 15:39:54,-13.8833,167.55,75.87,94,20,0.0
28,Quatre Cocos,MU,2022-01-24 15:39:54,-20.2078,57.7625,78.91,73,80,21.47
29,Fairbanks,US,2022-01-24 15:38:22,64.8378,-147.7164,39.54,77,100,9.22
30,Cheyenne,US,2022-01-24 15:38:56,41.14,-104.8203,36.19,50,0,5.75
31,Lorengau,PG,2022-01-24 15:39:55,-2.0226,147.2712,80.94,77,30,4.12
32,Sorab,IN,2022-01-24 15:39:56,14.3833,75.1,60.28,86,0,6.46
33,Fortuna,US,2022-01-24 15:39:56,40.5982,-124.1573,35.94,59,23,4.05
34,Severo-Kurilsk,RU,2022-01-24 15:39:56,50.6789,156.125,22.62,72,92,9.48
35,Lazurne,UA,2022-01-24 15:39:57,46.084,32.5295,27.79,90,100,17.36
36,Camiri,BO,2022-01-24 15:39:57,-20.05,-63.5167,76.78,78,75,0.0
37,Atuona,PF,2022-01-24 15:39:57,-9.8,-139.0333,77.99,77,9,17.87
38,Hetauda,NP,2022-01-24 15:39:58,27.4284,85.0322,60.15,83,51,4.25
39,Rikitea,PF,2022-01-24 15:39:58,-23.1203,-134.9692,78.1,74,100,18.97
40,Tual,ID,2022-01-24 15:39:59,-5.6667,132.75,83.43,78,99,12.68
41,Butaritari,KI,2022-01-24 15:35:56,3.0707,172.7902,82.09,69,58,14.05
42,Codrington,AU,2022-01-24 15:36:59,-38.2667,141.9667,72.23,51,100,8.28
43,Barrow,US,2022-01-24 15:39:59,71.2906,-156.7887,6.82,78,100,24.16
44,Vaini,TO,2022-01-24 15:41:00,-21.2,-175.2,75.36,100,20,3.44
45,Chuy,UY,2022-01-24 15:41:00,-33.6971,-53.4616,84.7,63,43,5.95
46,Saskylakh,RU,2022-01-24 15:41:01,71.9167,114.0833,-10.75,95,97,5.06
47,Bredasdorp,ZA,2022-01-24 15:41:01,-34.5322,20.0403,75.27,69,4,16.11
48,Bethel,US,2022-01-24 15:41:01,41.3712,-73.414,29.17,67,40,1.01
49,Wanning,CN,2022-01-24 15:41:02,18.8003,110.3967,71.69,89,18,3.58
50,Eureka,US,2022-01-24 15:37:26,40.8021,-124.1637,36.21,61,19,4.27
51,Khatanga,RU,2022-01-24 15:41:02,71.9667,102.5,0.36,95,100,13.6
52,Tuktoyaktuk,CA,2022-01-24 15:41:03,69.4541,-133.0374,1.4,85,40,10.36
53,Kapaa,US,2022-01-24 15:41:03,22.0752,-159.319,71.92,65,0,13.8
54,Bajil,YE,2022-01-24 15:41:03,15.0584,43.2851,80.24,64,57,6.55
55,Caravelas,BR,2022-01-24 15:41:04,-17.7125,-39.2481,84.49,61,99,8.32
56,Vila Velha,BR,2022-01-24 15:37:16,-20.3297,-40.2925,89.44,57,20,8.01
57,Georgetown,MY,2022-01-24 15:39:51,5.4112,100.3354,82.33,88,20,1.99
58,Yellowknife,CA,2022-01-24 15:41:04,62.456,-114.3525,-19.44,91,20,6.91
59,Port Blair,IN,2022-01-24 15:41:05,11.6667,92.75,75.24,83,40,0.0
60,Hilo,US,2022-01-24 15:40:00,19.7297,-155.09,67.24,79,0,9.22
61,Ust-Nera,RU,2022-01-24 15:41:05,64.5667,143.2,-29.45,98,99,3.33
62,Axim,GH,2022-01-24 15:41:06,4.8699,-2.2405,84.34,64,80,11.45
63,Kaitangata,NZ,2022-01-24 15:41:06,-46.2817,169.8464,45.66,93,100,4.34
64,Hermanus,ZA,2022-01-24 15:38:24,-34.4187,19.2345,77.9,78,41,8.46
65,Auki,SB,2022-01-24 15:41:07,-8.7676,160.7034,79.39,87,81,5.08
66,Raudeberg,NO,2022-01-24 15:41:07,61.9875,5.1352,40.87,93,100,5.99
67,Dalby,AU,2022-01-24 15:41:07,-27.1833,151.2667,69.98,81,100,6.6
68,Sioux Lookout,CA,2022-01-24 15:41:08,50.1001,-91.917,-18.02,76,20,5.75
69,Bukachacha,RU,2022-01-24 15:41:08,52.9833,116.9167,0.61,94,100,2.73
70,Celestun,MX,2022-01-24 15:41:09,20.8667,-90.4,75.9,63,0,9.01
71,Mazatlan,MX,2022-01-24 15:39:27,23.2167,-106.4167,67.01,83,100,0.0
72,Touros,BR,2022-01-24 15:40:45,-5.1989,-35.4608,88.7,55,38,12.06
73,Divnomorskoye,RU,2022-01-24 15:41:09,44.5011,38.1353,36.61,83,100,12.12
74,Ambilobe,MG,2022-01-24 15:41:10,-13.2,49.05,71.28,98,100,3.31
75,Broome,US,2022-01-24 15:41:10,42.2506,-75.833,17.69,70,0,1.99
76,Ponta Do Sol,PT,2022-01-24 15:41:10,32.6667,-17.1,66.0,77,91,5.84
77,Cabo San Lucas,MX,2022-01-24 15:41:11,22.8909,-109.9124,69.51,62,52,1.36
78,Los Llanos De Aridane,ES,2022-01-24 15:41:11,28.6585,-17.9182,68.13,51,75,8.01
79,King City,US,2022-01-24 15:41:11,36.2127,-121.126,49.23,47,0,1.74
80,Iwata,JP,2022-01-24 15:41:12,34.7,137.85,44.02,78,49,1.99
81,Katsuura,JP,2022-01-24 15:41:12,35.1333,140.3,39.31,61,4,14.43
82,Saint George,US,2022-01-24 15:38:41,37.1041,-113.5841,49.35,74,0,0.0
83,Cape Town,ZA,2022-01-24 15:41:13,-33.9258,18.4232,79.11,67,75,7.0
84,Larsnes,NO,2022-01-24 15:41:13,62.2028,5.5773,41.68,88,100,14.47
85,Carnarvon,AU,2022-01-24 15:41:14,-24.8667,113.6333,77.07,78,0,24.16
86,Byron Bay,AU,2022-01-24 15:39:27,-28.65,153.6167,72.88,83,100,5.59
87,Parabel,RU,2022-01-24 15:41:14,58.6978,81.4825,-2.97,100,93,4.45
88,Hambantota,LK,2022-01-24 15:41:15,6.1241,81.1185,73.74,100,20,1.14
89,Iwanai,JP,2022-01-24 15:41:15,42.9744,140.5089,18.18,96,92,2.13
90,Saldanha,ZA,2022-01-24 15:38:10,-33.0117,17.9442,78.85,80,21,26.08
91,La Romana,DO,2022-01-24 15:41:15,18.4273,-68.9728,80.96,78,40,0.0
92,Airai,TL,2022-01-24 15:42:16,-8.9266,125.4092,61.75,89,97,1.88
93,Ossora,RU,2022-01-24 15:42:16,59.2353,163.0719,-18.85,92,6,4.25
94,Tasiilaq,GL,2022-01-24 15:42:17,65.6145,-37.6368,19.56,59,100,12.91
95,Sundsvall,SE,2022-01-24 15:42:17,62.3913,17.3063,36.97,64,13,2.3
96,Pevek,RU,2022-01-24 15:42:17,69.7008,170.3133,-17.27,98,100,9.48
97,Deputatskiy,RU,2022-01-24 15:42:18,69.3,139.9,-15.59,97,100,3.87
98,Linqiong,CN,2022-01-24 15:42:18,30.4159,103.4609,49.82,88,100,5.23
99,Sitka,US,2022-01-24 15:42:19,57.0531,-135.33,35.49,93,75,6.91
100,Hasaki,JP,2022-01-24 15:42:19,35.7333,140.8333,34.2,58,4,19.44
101,Silvassa,IN,2022-01-24 15:42:19,20.2667,73.0167,60.3,45,0,4.65
102,Jaleswar,NP,2022-01-24 15:42:20,26.6471,85.8008,59.94,80,7,4.5
103,Ishigaki,JP,2022-01-24 15:42:20,24.3448,124.1572,69.3,73,95,19.73
104,Vidalia,US,2022-01-24 15:41:47,32.2177,-82.4135,49.95,46,0,0.0
105,Jiangyou,CN,2022-01-24 15:42:21,31.7667,104.7167,46.63,81,100,1.12
106,Jamestown,US,2022-01-24 15:42:21,42.097,-79.2353,16.02,45,99,5.01
107,Reconquista,AR,2022-01-24 15:40:11,-29.15,-59.65,105.03,25,88,4.94
108,Saint Anthony,US,2022-01-24 15:42:21,45.0205,-93.218,7.25,77,0,7.0
109,Muisne,EC,2022-01-24 15:42:22,0.6,-80.0333,78.24,87,98,9.01
110,Payo,ID,2022-01-24 15:42:22,-3.7508,103.6372,74.44,97,100,2.35
111,Itarema,BR,2022-01-24 15:40:00,-2.9248,-39.9167,88.25,52,82,12.97
112,Khandyga,RU,2022-01-24 15:42:23,62.6667,135.6,-21.26,98,100,3.2
113,Moratuwa,LK,2022-01-24 15:42:23,6.773,79.8816,82.42,74,68,1.7
114,Barrie,CA,2022-01-24 15:38:24,44.4001,-79.6663,14.72,74,98,12.64
115,Ipatinga,BR,2022-01-24 15:42:24,-19.4683,-42.5367,84.27,48,20,9.22
116,Chokurdakh,RU,2022-01-24 15:42:24,70.6333,147.9167,-20.38,99,100,5.28
117,Flinders,AU,2022-01-24 15:42:24,-34.5833,150.8552,70.38,81,91,4.12
118,Hastings,GB,2022-01-24 15:42:25,50.8552,0.5729,41.81,76,13,8.05
119,Mhlume,SZ,2022-01-24 15:42:25,-26.0333,31.85,83.86,70,38,8.86
120,Hobart,AU,2022-01-24 15:38:20,-42.8794,147.3294,63.05,85,100,6.91
121,Okha,RU,2022-01-24 15:42:26,53.5739,142.9478,-5.51,97,100,10.33
122,Bosaso,SO,2022-01-24 15:42:26,11.2842,49.1816,74.7,68,34,8.37
123,Guerrero Negro,MX,2022-01-24 15:38:49,27.9769,-114.0611,60.82,61,0,7.34
124,Constitucion,CL,2022-01-24 15:42:27,-35.3333,-72.4167,71.26,58,3,14.88
125,Chichawatni,PK,2022-01-24 15:42:27,30.5333,72.7,55.35,58,51,6.4
126,Lacolle,CA,2022-01-24 15:42:27,45.0834,-73.3659,12.58,71,47,1.97
127,Port Elizabeth,ZA,2022-01-24 15:42:28,-33.918,25.5701,79.11,73,0,33.38
128,Pacific Grove,US,2022-01-24 15:41:52,36.6177,-121.9166,54.57,65,0,6.91
129,Avarua,CK,2022-01-24 15:42:29,-21.2078,-159.775,80.65,89,75,11.5
130,San Andres,CO,2022-01-24 15:39:13,12.5847,-81.7006,82.42,69,20,13.8
131,Labuhan,ID,2022-01-24 15:42:29,-6.8844,112.2051,79.36,85,48,12.73
132,Butembo,CD,2022-01-24 15:42:29,0.15,29.2833,61.52,86,100,2.39
133,Esperance,AU,2022-01-24 15:42:30,-33.8667,121.9,62.44,87,32,11.18
134,Chalmette,US,2022-01-24 15:42:30,29.9427,-89.9634,53.01,65,0,3.44
135,Hithadhoo,MV,2022-01-24 15:42:31,-0.6,73.0833,81.86,72,84,11.81
136,Ilulissat,GL,2022-01-24 15:42:31,69.2167,-51.1,15.82,48,100,19.57
137,Aykhal,RU,2022-01-24 15:42:31,66.0,111.5,-12.82,100,100,4.85
138,Qaanaaq,GL,2022-01-24 15:42:32,77.484,-69.3632,-9.85,93,96,6.46
139,Vanimo,PG,2022-01-24 15:42:32,-2.6741,141.3028,77.49,85,97,3.29
140,Torbay,CA,2022-01-24 15:43:32,47.6666,-52.7314,33.76,91,100,16.11
141,Lebu,CL,2022-01-24 15:43:33,-37.6167,-73.65,64.44,72,6,17.22
142,Sambava,MG,2022-01-24 15:43:33,-14.2667,50.1667,77.86,84,100,2.86
143,Bambous Virieux,MU,2022-01-24 15:43:34,-20.3428,57.7575,79.05,69,40,13.8
144,Norman Wells,CA,2022-01-24 15:43:34,65.282,-126.8329,6.84,85,100,10.36
145,Aklavik,CA,2022-01-24 15:43:34,68.2191,-135.0107,12.92,85,75,11.5
146,Coquimbo,CL,2022-01-24 15:41:40,-29.9533,-71.3436,65.93,77,20,13.8
147,Shepsi,RU,2022-01-24 15:43:35,44.0361,39.1489,39.67,79,100,8.14
148,Latehar,IN,2022-01-24 15:43:35,23.75,84.5,58.05,78,42,2.26
149,Saint-Francois,FR,2022-01-24 15:43:36,46.4154,3.9054,44.67,70,0,2.3
150,Port Keats,AU,2022-01-24 15:43:36,-14.25,129.55,79.52,87,98,11.59
151,Port-Cartier,CA,2022-01-24 15:40:12,50.0334,-66.8654,2.75,75,39,7.67
152,Omboue,GA,2022-01-24 15:43:37,-1.5746,9.2618,81.43,73,38,8.5
153,Sibu,MY,2022-01-24 15:43:37,2.3,111.8167,75.51,100,40,1.01
154,New Norfolk,AU,2022-01-24 15:43:38,-42.7826,147.0587,62.71,68,100,0.56
155,Fort Nelson,CA,2022-01-24 15:43:38,58.8053,-122.7002,-1.35,99,55,2.19
156,Jiexiu,CN,2022-01-24 15:43:38,37.0244,111.9125,34.41,81,13,7.45
157,Husavik,IS,2022-01-24 15:43:39,66.0449,-17.3389,31.91,82,45,9.44
158,Jinchang,CN,2022-01-24 15:43:39,38.4953,102.1739,23.76,50,2,2.86
159,Pula,HR,2022-01-24 15:43:00,44.8683,13.8481,46.29,60,20,9.22
160,Espinosa,BR,2022-01-24 15:43:40,-14.9261,-42.8192,85.32,51,75,5.1
161,Sedona,US,2022-01-24 15:40:38,34.8697,-111.761,51.49,45,0,6.91
